Decorated function name;Undecorated function name;Average elapsed time (nanoseconds);Minimum elapsed time (nanoseconds);Maximum elapsed time (nanoseconds);Standard deviation (nanoseconds);Occurrences
?_Get_first@?$_Compressed_pair@V?$allocator@V?$_List_unchecked_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CB_KV?$vector@_KV?$allocator@_K@std@@@std@@@std@@@std@@@std@@@std@@@std@@V?$_Vector_val@U?$_Simple_types@V?$_List_unchecked_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CB_KV?$vector@_KV?$allocator@_K@std@@@std@@@std@@@std@@@std@@@std@@@std@@@2@$00@std@@QEBAAEBV?$allocator@V?$_List_unchecked_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CB_KV?$vector@_KV?$allocator@_K@std@@@std@@@std@@@std@@@std@@@std@@@2@XZ;class std::allocator<class std::_List_unchecked_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<unsigned __int64 const ,class std::vector<unsigned __int64,class std::allocator<unsigned __int64> > > > > > > const & __ptr64 __cdecl std::_Compressed_pair<class std::allocator<class std::_List_unchecked_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<unsigned __int64 const ,class std::vector<unsigned __int64,class std::allocator<unsigned __int64> > > ;231500;231500;231500;0;1
??$_Adl_verify_range@V?$_Vector_iterator@V?$_Vector_val@U?$_Simple_types@PEAVTimelineEntry@@@std@@@std@@@std@@V12@@std@@YAXAEBV?$_Vector_iterator@V?$_Vector_val@U?$_Simple_types@PEAVTimelineEntry@@@std@@@std@@@0@0@Z;void __cdecl std::_Adl_verify_range<class std::_Vector_iterator<class std::_Vector_val<struct std::_Simple_types<class TimelineEntry * __ptr64> > >,class std::_Vector_iterator<class std::_Vector_val<struct std::_Simple_types<class TimelineEntry * __ptr64> > > >(class std::_Vector_iterator<class std::_Vector_val<struct std::_Simple_types<class TimelineEntry * __ptr64> > > const & __ptr64,class std::_Vector_iterator<class std::_Vector_val<struct std::_Simple_types<class TimelineEntry * __ptr64> > > const & ;231450;227900;235000;3550;2
?GetThreadId@TimelineEntry@@QEBAAEBKXZ;unsigned long const & __ptr64 __cdecl TimelineEntry::GetThreadId(void)const __ptr64;231400;231400;231400;0;1
?OnEndAnalysis@?$DynamicSmartPtrAnalyzerGroupImpl@PEAVIAnalyzer@BuildInsights@Cpp@Microsoft@@V?$RawPtrWrapper@VIAnalyzer@BuildInsights@Cpp@Microsoft@@@Internal@234@@Internal@BuildInsights@Cpp@Microsoft@@UEAA?AW4AnalysisControl@345@XZ;virtual enum Microsoft::Cpp::BuildInsights::AnalysisControl __cdecl Microsoft::Cpp::BuildInsights::Internal::DynamicSmartPtrAnalyzerGroupImpl<class Microsoft::Cpp::BuildInsights::IAnalyzer * __ptr64,class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper<class Microsoft::Cpp::BuildInsights::IAnalyzer> >::OnEndAnalysis(void) __ptr64;231400;231400;231400;0;1
?_Unchecked_end@?$vector@PEAVIAnalyzer@BuildInsights@Cpp@Microsoft@@V?$allocator@PEAVIAnalyzer@BuildInsights@Cpp@Microsoft@@@std@@@std@@QEAAPEAPEAVIAnalyzer@BuildInsights@Cpp@Microsoft@@XZ;class Microsoft::Cpp::BuildInsights::IAnalyzer * __ptr64 * __ptr64 __cdecl std::vector<class Microsoft::Cpp::BuildInsights::IAnalyzer * __ptr64,class std::allocator<class Microsoft::Cpp::BuildInsights::IAnalyzer * __ptr64> >::_Unchecked_end(void) __ptr64;231400;231400;231400;0;1
?Begin@?$GenericValue@U?$UTF8@D@rapidjson@@V?$MemoryPoolAllocator@VCrtAllocator@rapidjson@@@2@@rapidjson@@QEBAPEBV12@XZ;class rapidjson::GenericValue<struct rapidjson::UTF8<char>,class rapidjson::MemoryPoolAllocator<class rapidjson::CrtAllocator> > const * __ptr64 __cdecl rapidjson::GenericValue<struct rapidjson::UTF8<char>,class rapidjson::MemoryPoolAllocator<class rapidjson::CrtAllocator> >::Begin(void)const __ptr64;231400;231400;231400;0;1
??0?$_List_const_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V12@@std@@@std@@@std@@@std@@QEAA@$$QEAV01@@Z;??0?$_List_const_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V12@@std@@@std@@@std@@@std@@QEAA@$$QEAV01@@Z;231350;230000;232700;1350;2
??8?$_List_unchecked_const_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CBV?$shared_ptr@VOptionDetails@cxxopts@@@std@@VOptionValue@cxxopts@@@std@@@std@@@std@@U_Iterator_base0@2@@std@@QEBA_NAEBV01@@Z;bool __cdecl std::_List_unchecked_const_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<class std::shared_ptr<class cxxopts::OptionDetails> const ,class cxxopts::OptionValue> > >,struct std::_Iterator_base0>::operator==(class std::_List_unchecked_const_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<class std::shared_ptr<class cxxopts::OptionDetails> const ,class cxxopts::OptionValue> > >,struct std::_Iterator_base0> const & __ptr64)const __ptr6;231300;231300;231300;0;1
??0?$_List_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CB_KVTimelineEntry@@@std@@@std@@@std@@@std@@QEAA@$$QEAV01@@Z;??0?$_List_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CB_KVTimelineEntry@@@std@@@std@@@std@@@std@@QEAA@$$QEAV01@@Z;231300;231300;231300;0;1
??$_Get_unwrapped@AEAPEAI@std@@YA@AEAPEAI@Z;__cdecl std::_Get_unwrapped<unsigned int * __ptr64 & __ptr64>(unsigned int * __ptr64 & __ptr64);231200;231200;231200;0;1
??$move@AEAPEBVTimelineEntry@@@std@@YA$$QEAPEBVTimelineEntry@@AEAPEBV1@@Z;??$move@AEAPEBVTimelineEntry@@@std@@YA$$QEAPEBVTimelineEntry@@AEAPEBV1@@Z;231200;231200;231200;0;1
??$?0U?$_List_node@U?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@UDataPerTemplate@?A0x5cdd232a@@@std@@PEAX@std@@@?$allocator@U_Container_proxy@std@@@std@@QEAA@AEBV?$allocator@U?$_List_node@U?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@UDataPerTemplate@?A0x5cdd232a@@@std@@PEAX@std@@@1@@Z;__cdecl std::allocator<struct std::_Container_proxy>::allocator<struct std::_Container_proxy><struct std::_List_node<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct `anonymous namespace'::DataPerTemplate>,void * __ptr64> >(class std::allocator<struct std::_List_node<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct `anonymous namespace'::DataPerTemplate>,void * __ptr6;231200;231200;231200;0;1
??$_Get_unwrapped@AEBQEAV?$_List_unchecked_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CB_KV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@std@@@std@@@std@@@std@@@std@@YA@AEBQEAV?$_List_unchecked_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CB_KV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@std@@@std@@@std@@@0@@Z;__cdecl std::_Get_unwrapped<class std::_List_unchecked_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<unsigned __int64 const ,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > > > > * __ptr64 const & __ptr64>(class std::_List_unchecked_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<unsigned __int64 const ,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > > > > * __p;231100;193300;268900;37800;2
?_Get_first@?$_Compressed_pair@V?$allocator@V?$_List_unchecked_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CB_KUTemplateInstantiationData@@@std@@@std@@@std@@@std@@@std@@V?$_Vector_val@U?$_Simple_types@V?$_List_unchecked_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CB_KUTemplateInstantiationData@@@std@@@std@@@std@@@std@@@std@@@2@$00@std@@QEBAAEBV?$allocator@V?$_List_unchecked_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CB_KUTemplateInstantiationData@@@std@@@std@@@std@@@std@@@2@XZ;class std::allocator<class std::_List_unchecked_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<unsigned __int64 const ,struct TemplateInstantiationData> > > > > const & __ptr64 __cdecl std::_Compressed_pair<class std::allocator<class std::_List_unchecked_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<unsigned __int64 const ,struct TemplateInstantiationData> > > > >,class std::_Vector_val<struct std::_Simple_types<class std::_List_unchecked_iter;231100;231100;231100;0;1
??$_Get_unwrapped@AEBQEAV?$_List_unchecked_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CB_KV?$vector@_KV?$allocator@_K@std@@@std@@@std@@@std@@@std@@@std@@@std@@YA@AEBQEAV?$_List_unchecked_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CB_KV?$vector@_KV?$allocator@_K@std@@@std@@@std@@@std@@@std@@@0@@Z;__cdecl std::_Get_unwrapped<class std::_List_unchecked_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<unsigned __int64 const ,class std::vector<unsigned __int64,class std::allocator<unsigned __int64> > > > > > * __ptr64 const & __ptr64>(class std::_List_unchecked_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<unsigned __int64 const ,class std::vector<unsigned __int64,class std::allocator<unsigned __int64> > > > > > * __ptr64 const & __ptr64);231100;231100;231100;0;1
??4?$_Vb_const_iterator@U?$_Wrap_alloc@V?$allocator@I@std@@@std@@@std@@QEAAAEAV01@$$QEAV01@@Z;??4?$_Vb_const_iterator@U?$_Wrap_alloc@V?$allocator@I@std@@@std@@@std@@QEAAAEAV01@$$QEAV01@@Z;231100;231100;231100;0;1
??$forward@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@std@@YA$$QEAV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@0@AEAV10@@Z;??$forward@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@std@@YA$$QEAV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@0@AEAV10@@Z;231025;200700;256600;25004;4
??9?$GenericMemberIterator@$00U?$UTF8@D@rapidjson@@V?$MemoryPoolAllocator@VCrtAllocator@rapidjson@@@2@@rapidjson@@QEBA_NV01@@Z;bool __cdecl rapidjson::GenericMemberIterator<1,struct rapidjson::UTF8<char>,class rapidjson::MemoryPoolAllocator<class rapidjson::CrtAllocator> >::operator!=(class rapidjson::GenericMemberIterator<1,struct rapidjson::UTF8<char>,class rapidjson::MemoryPoolAllocator<class rapidjson::CrtAllocator> >)const __ptr64;231000;231000;231000;0;1
?_Unchecked_end@?$vector@PEBU?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@UDataPerTemplate@?A0x5cdd232a@@@std@@V?$allocator@PEBU?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@UDataPerTemplate@?A0x5cdd232a@@@std@@@2@@std@@QEAAPEAPEBU?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@UDataPerTemplate@?A0x5cdd232a@@@2@XZ;struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct `anonymous namespace'::DataPerTemplate> const * __ptr64 * __ptr64 __cdecl std::vector<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct `anonymous namespace'::DataPerTemplate> const * __ptr64,class std::allocator<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > cons;231000;231000;231000;0;1
??1?$match_results@PEBDV?$allocator@V?$sub_match@PEBD@std@@@std@@@std@@QEAA@XZ;__cdecl std::match_results<char const * __ptr64,class std::allocator<class std::sub_match<char const * __ptr64> > >::~match_results<char const * __ptr64,class std::allocator<class std::sub_match<char const * __ptr64> > >(void) __ptr64;231000;231000;231000;0;1
??$_Unfancy@PEBU?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@UDataPerTemplate@?A0x5cdd232a@@@std@@@std@@YAPEAPEBU?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@UDataPerTemplate@?A0x5cdd232a@@@0@PEAPEBU10@@Z;struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct `anonymous namespace'::DataPerTemplate> const * __ptr64 * __ptr64 __cdecl std::_Unfancy<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct `anonymous namespace'::DataPerTemplate> const * __ptr64>(struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct `anonymo;230900;230900;230900;0;1
?_Get_first@?$_Compressed_pair@V?$allocator@U?$_List_node@U?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@UFileCompilationData@@@std@@PEAX@std@@@std@@V?$_List_val@U?$_List_simple_types@U?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@UFileCompilationData@@@std@@@std@@@2@$00@std@@QEAAAEAV?$allocator@U?$_List_node@U?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@UFileCompilationData@@@std@@PEAX@std@@@2@XZ;class std::allocator<struct std::_List_node<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct FileCompilationData>,void * __ptr64> > & __ptr64 __cdecl std::_Compressed_pair<class std::allocator<struct std::_List_node<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct FileCompilationData>,void * __ptr64> >,class std::_List_val<struct std::_List_simple_types<struct std::pa;230800;230800;230800;0;1
??$addressof@$$CBV?$collate@D@std@@@std@@YAPEBV?$collate@D@0@AEBV10@@Z;class std::collate<char> const * __ptr64 __cdecl std::addressof<class std::collate<char> const >(class std::collate<char> const & __ptr64);230700;230700;230700;0;1
??0_Clear_guard@?$_Hash@V?$_Umap_traits@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@UDataPerTemplate@?A0x5cdd232a@@V?$_Uhash_compare@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@U?$hash@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@U?$equal_to@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@2@V?$allocator@U?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@UDataPerTemplate@?A0x5cdd232a@@@std@@@2@$0A@@std@@@std@@QEAA@QEAV12@@Z;__cdecl std::_Hash<class std::_Umap_traits<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,struct `anonymous namespace'::DataPerTemplate,class std::_Uhash_compare<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,struct std::hash<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,struct std::equal_to<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > >;230600;230600;230600;0;1
??$move@AEAV?$MaterializeMemberFuncHandler@VFunctionCompilationsAnalyzer@@XU?$Group@AEBVFunction@Activities@BuildInsights@Cpp@Microsoft@@@Internal@BuildInsights@Cpp@Microsoft@@$$V@Internal@BuildInsights@Cpp@Microsoft@@@std@@YA$$QEAV?$MaterializeMemberFuncHandler@VFunctionCompilationsAnalyzer@@XU?$Group@AEBVFunction@Activities@BuildInsights@Cpp@Microsoft@@@Internal@BuildInsights@Cpp@Microsoft@@$$V@Internal@BuildInsights@Cpp@Microsoft@@AEAV12345@@Z;??$move@AEAV?$MaterializeMemberFuncHandler@VFunctionCompilationsAnalyzer@@XU?$Group@AEBVFunction@Activities@BuildInsights@Cpp@Microsoft@@@Internal@BuildInsights@Cpp@Microsoft@@$$V@Internal@BuildInsights@Cpp@Microsoft@@@std@@YA$$QEAV?$MaterializeMemberFuncHandler@VFunctionCompilationsAnalyzer@@XU?$Group@AEBVFunction@Activities@BuildInsights@Cpp@Microsoft@@@Internal@BuildInsights@Cpp@Microsoft@@$$V@Internal@BuildInsights@Cpp@Microsoft@@AEAV12345@@Z;230600;230600;230600;0;1
?deallocate@?$allocator@_W@std@@QEAAXQEA_W_K@Z;void __cdecl std::allocator<wchar_t>::deallocate(wchar_t * __ptr64 const,unsigned __int64) __ptr64;230600;230600;230600;0;1
??0?$MaterializeMemberFuncHandler@VFileCompilationsAnalyzer@@XU?$Group@AEBVFrontEndPass@Activities@BuildInsights@Cpp@Microsoft@@@Internal@BuildInsights@Cpp@Microsoft@@$$V@Internal@BuildInsights@Cpp@Microsoft@@QEAA@PEAVFileCompilationsAnalyzer@@P85@EAAXAEBVFrontEndPass@Activities@234@@Z@Z;??0?$MaterializeMemberFuncHandler@VFileCompilationsAnalyzer@@XU?$Group@AEBVFrontEndPass@Activities@BuildInsights@Cpp@Microsoft@@@Internal@BuildInsights@Cpp@Microsoft@@$$V@Internal@BuildInsights@Cpp@Microsoft@@QEAA@PEAVFileCompilationsAnalyzer@@P85@EAAXAEBVFrontEndPass@Activities@234@@Z@Z;230600;230600;230600;0;1
??1?$_List_unchecked_const_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$unordered_set@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@U?$hash@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@U?$equal_to@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@2@@std@@@std@@@std@@U_Iterator_base12@2@@std@@QEAA@XZ;__cdecl std::_List_unchecked_const_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,class std::unordered_set<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,struct std::hash<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,struct std::equal_to<class std::basic_string<char,struct std::char_traits<char>,cl;230600;230600;230600;0;1
??$forward@U_Grp_t@?$_Tgt_state_t@V?$_String_const_iterator@V?$_String_val@U?$_Simple_types@D@std@@@std@@@std@@@std@@@std@@YA$$QEAU_Grp_t@?$_Tgt_state_t@V?$_String_const_iterator@V?$_String_val@U?$_Simple_types@D@std@@@std@@@std@@@0@AEAU120@@Z;??$forward@U_Grp_t@?$_Tgt_state_t@V?$_String_const_iterator@V?$_String_val@U?$_Simple_types@D@std@@@std@@@std@@@std@@@std@@YA$$QEAU_Grp_t@?$_Tgt_state_t@V?$_String_const_iterator@V?$_String_val@U?$_Simple_types@D@std@@@std@@@std@@@0@AEAU120@@Z;230500;230500;230500;0;1
??$addressof@U?$pair@$$CB_KUTemplateInstantiationData@@@std@@@std@@YAPEAU?$pair@$$CB_KUTemplateInstantiationData@@@0@AEAU10@@Z;struct std::pair<unsigned __int64 const ,struct TemplateInstantiationData> * __ptr64 __cdecl std::addressof<struct std::pair<unsigned __int64 const ,struct TemplateInstantiationData> >(struct std::pair<unsigned __int64 const ,struct TemplateInstantiationData> & __ptr64);230500;230500;230500;0;1
?_Get_first@?$_Compressed_pair@V?$allocator@U?$_List_node@U?$pair@$$CB_KULocalThreadData@PackedProcessThreadRemapper@@@std@@PEAX@std@@@std@@V?$_List_val@U?$_List_simple_types@U?$pair@$$CB_KULocalThreadData@PackedProcessThreadRemapper@@@std@@@std@@@2@$00@std@@QEAAAEAV?$allocator@U?$_List_node@U?$pair@$$CB_KULocalThreadData@PackedProcessThreadRemapper@@@std@@PEAX@std@@@2@XZ;class std::allocator<struct std::_List_node<struct std::pair<unsigned __int64 const ,struct PackedProcessThreadRemapper::LocalThreadData>,void * __ptr64> > & __ptr64 __cdecl std::_Compressed_pair<class std::allocator<struct std::_List_node<struct std::pair<unsigned __int64 const ,struct PackedProcessThreadRemapper::LocalThreadData>,void * __ptr64> >,class std::_List_val<struct std::_List_simple_types<struct std::pair<unsigned __int64 const ,struct PackedProcessThreadRemapper::LocalThreadData> > >,1>::_Get;230400;230400;230400;0;1
?__autoclassinit2@ParseResult@cxxopts@@QEAAX_K@Z;void __cdecl cxxopts::ParseResult::__autoclassinit2(unsigned __int64) __ptr64;230400;230400;230400;0;1
??$addressof@V?$_List_val@U?$_List_simple_types@U?$pair@$$CB_KVTimelineEntry@@@std@@@std@@@std@@@std@@YAPEAV?$_List_val@U?$_List_simple_types@U?$pair@$$CB_KVTimelineEntry@@@std@@@std@@@0@AEAV10@@Z;class std::_List_val<struct std::_List_simple_types<struct std::pair<unsigned __int64 const ,class TimelineEntry> > > * __ptr64 __cdecl std::addressof<class std::_List_val<struct std::_List_simple_types<struct std::pair<unsigned __int64 const ,class TimelineEntry> > > >(class std::_List_val<struct std::_List_simple_types<struct std::pair<unsigned __int64 const ,class TimelineEntry> > > & __ptr64);230400;230400;230400;0;1
??C?$_List_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@UDataPerTemplate@?A0x5cdd232a@@@std@@@std@@@std@@@std@@QEBAPEAU?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@UDataPerTemplate@?A0x5cdd232a@@@1@XZ;struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct `anonymous namespace'::DataPerTemplate> * __ptr64 __cdecl std::_List_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct `anonymous namespace'::DataPerTemplate> > > >::operator->(void)const __ptr64;230300;230300;230300;0;1
??1?$_Regex_traits@D@std@@QEAA@XZ;__cdecl std::_Regex_traits<char>::~_Regex_traits<char>(void) __ptr64;230300;230300;230300;0;1
??$?0AEBV?$shared_ptr@VOptionDetails@cxxopts@@@std@@@?$_Tuple_val@AEBV?$shared_ptr@VOptionDetails@cxxopts@@@std@@@std@@QEAA@AEBV?$shared_ptr@VOptionDetails@cxxopts@@@1@@Z;__cdecl std::_Tuple_val<class std::shared_ptr<class cxxopts::OptionDetails> const & __ptr64>::_Tuple_val<class std::shared_ptr<class cxxopts::OptionDetails> const & __ptr64><class std::shared_ptr<class cxxopts::OptionDetails> const & __ptr64>(class std::shared_ptr<class cxxopts::OptionDetails> const & __ptr64) __ptr64;230200;230200;230200;0;1
??0?$MatchEventFixedHandler@U?$MatchEventAndContinue@VSymbolName@SimpleEvents@BuildInsights@Cpp@Microsoft@@$$V@?$MatchEventStackImpl@V?$MaterializeMemberFuncHandler@VBuildTimelineAnalyzer@@XU?$Group@AEBVSymbolName@SimpleEvents@BuildInsights@Cpp@Microsoft@@@Internal@BuildInsights@Cpp@Microsoft@@$$V@Internal@BuildInsights@Cpp@Microsoft@@U?$Group@VSymbolName@SimpleEvents@BuildInsights@Cpp@Microsoft@@@2345@U?$Group@$$V@2345@@Internal@BuildInsights@Cpp@Microsoft@@@Internal@BuildInsights@Cpp@Microsoft@@QEAA@PEAU?$MatchEventAndContinue@VSymbolName@SimpleEvents@BuildInsights@Cpp@Microsoft@@$$V@?$MatchEventStackImpl@V?$MaterializeMemberFuncHandler@VBuildTimelineAnalyzer@@XU?$Group@AEBVSymbolName@SimpleEvents@BuildInsights@Cpp@Microsoft@@@Internal@BuildInsights@Cpp@Microsoft@@$$V@Internal@BuildInsights@Cpp@Microsoft@@U?$Group@VSymbolName@SimpleEvents@BuildInsights@Cpp@Microsoft@@@2345@U?$Group@$$V@2345@@1234@@Z;??0?$MatchEventFixedHandler@U?$MatchEventAndContinue@VSymbolName@SimpleEvents@BuildInsights@Cpp@Microsoft@@$$V@?$MatchEventStackImpl@V?$MaterializeMemberFuncHandler@VBuildTimelineAnalyzer@@XU?$Group@AEBVSymbolName@SimpleEvents@BuildInsights@Cpp@Microsoft@@@Internal@BuildInsights@Cpp@Microsoft@@$$V@Internal@BuildInsights@Cpp@Microsoft@@U?$Group@VSymbolName@SimpleEvents@BuildInsights@Cpp@Microsoft@@@2345@U?$Group@$$V@2345@@Internal@BuildInsights@Cpp@Microsoft@@@Internal@BuildInsights@Cpp@Microsoft@@QEAA@PEA;230200;230200;230200;0;1
??Y?$_Vector_iterator@V?$_Vector_val@U?$_Simple_types@I@std@@@std@@@std@@QEAAAEAV01@_J@Z;class std::_Vector_iterator<class std::_Vector_val<struct std::_Simple_types<unsigned int> > > & __ptr64 __cdecl std::_Vector_iterator<class std::_Vector_val<struct std::_Simple_types<unsigned int> > >::operator+=(__int64) __ptr64;230200;230200;230200;0;1
?bucket_count@?$_Hash@V?$_Uset_traits@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$_Uhash_compare@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@U?$hash@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@U?$equal_to@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@2@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@$0A@@std@@@std@@QEBA_KXZ;unsigned __int64 __cdecl std::_Hash<class std::_Uset_traits<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,class std::_Uhash_compare<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,struct std::hash<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,struct std::equal_to<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > >,class std::allocator<class s;230200;230200;230200;0;1
??0?$_Alloc_construct_ptr@V?$allocator@U?$_List_node@U?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@UFileCompilationData@@@std@@PEAX@std@@@std@@@std@@QEAA@AEAV?$allocator@U?$_List_node@U?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@UFileCompilationData@@@std@@PEAX@std@@@1@@Z;__cdecl std::_Alloc_construct_ptr<class std::allocator<struct std::_List_node<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct FileCompilationData>,void * __ptr64> > >::_Alloc_construct_ptr<class std::allocator<struct std::_List_node<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct FileCompilationData>,void * __ptr64> > >(class std::allocator<struct std::_List_node<st;230200;230200;230200;0;1
??E?$_List_unchecked_const_iterator@V?$_List_val@U?$_List_simple_types@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@std@@@std@@U_Iterator_base0@2@@std@@QEAAAEAV01@XZ;class std::_List_unchecked_const_iterator<class std::_List_val<struct std::_List_simple_types<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > >,struct std::_Iterator_base0> & __ptr64 __cdecl std::_List_unchecked_const_iterator<class std::_List_val<struct std::_List_simple_types<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > >,struct std::_Iterator_base0>::operator++(void) __ptr64;230100;214000;246200;16100;2
