Specialization template;Primary template;Average elapsed time (nanoseconds);Minimum elapsed time (nanoseconds);Maximum elapsed time (nanoseconds);Standard deviation (nanoseconds);Occurrences
class std::allocator<class Microsoft::Cpp::BuildInsights::Activities::Invocation> &&__cdecl std::move<class std::allocator<class Microsoft::Cpp::BuildInsights::Activities::Invocation>&>(class std::allocator<class Microsoft::Cpp::BuildInsights::Activities::Invocation> &) noexcept;remove_reference<`template-type-parameter-1'>::type &&__cdecl std::move(_Ty &&) noexcept;2066;2000;2100;47;3
__cdecl std::_Compressed_pair<class std::allocator<class std::shared_ptr<class Microsoft::Cpp::BuildInsights::IRelogger> >,class std::_Vector_val<struct std::_Simple_types<class std::shared_ptr<class Microsoft::Cpp::BuildInsights::IRelogger> > >,1>::_Compressed_pair<>(struct std::_Zero_then_variadic_args_t) noexcept;__cdecl std::_Compressed_pair<class std::allocator<class std::shared_ptr<class Microsoft::Cpp::BuildInsights::IRelogger> >,class std::_Vector_val<struct std::_Simple_types<class std::shared_ptr<class Microsoft::Cpp::BuildInsights::IRelogger> > >,1>::_Compressed_pair(struct std::_Zero_then_variadic_args_t,_Other2 &&...) noexcept(<expr>);2066;2000;2100;47;3
unsigned __int64 __cdecl std::_Hash_representation<int>(const int &) noexcept;unsigned __int64 __cdecl std::_Hash_representation(const _Kty &) noexcept;2066;2000;2200;94;3
enum Microsoft::Cpp::BuildInsights::AnalysisControl __cdecl Microsoft::Cpp::BuildInsights::Internal::DynamicEventHandlingSupport::HandleAnalysisEvent<const class Microsoft::Cpp::BuildInsights::EventStack&,class Microsoft::Cpp::BuildInsights::IAnalyzer,class std::unique_ptr<class Microsoft::Cpp::BuildInsights::IAnalyzer,struct std::default_delete<class Microsoft::Cpp::BuildInsights::IAnalyzer> >,const class Microsoft::Cpp::BuildInsights::EventStack&>(class std::vector<class std::unique_ptr<class Microsoft::Cpp::BuildInsights::IAnalyzer,struct std::default_delete<class Microsoft::Cpp::BuildInsights::IAnalyzer> >,class std::allocator<class std::unique_ptr<class Microsoft::Cpp::BuildInsights::IAnalyzer,struct std::default_delete<class Microsoft::Cpp::BuildInsights::IAnalyzer> > > > &,enum Microsoft::Cpp::BuildInsights::AnalysisControl (__cdecl Microsoft::Cpp::BuildInsights::IAnalyzer::* )(const class Microsoft::Cpp::BuildInsights::EventStack &),const class Microsoft::Cpp::BuildInsights::EventStack &);enum Microsoft::Cpp::BuildInsights::AnalysisControl __cdecl Microsoft::Cpp::BuildInsights::Internal::DynamicEventHandlingSupport::HandleAnalysisEvent(class std::vector<`template-type-parameter-3',class std::allocator<`template-type-parameter-3'> > &,enum Microsoft::Cpp::BuildInsights::AnalysisControl (__cdecl TInterface::* )(TInterfaceArgs...),TArgs &&...);2066;2000;2100;47;3
void __cdecl std::_Destroy_range<class std::allocator<class Microsoft::Cpp::BuildInsights::IRelogger *>>(class Microsoft::Cpp::BuildInsights::IRelogger **,class Microsoft::Cpp::BuildInsights::IRelogger **const ,class std::allocator<class Microsoft::Cpp::BuildInsights::IRelogger *> &) noexcept;void __cdecl std::_Destroy_range(allocator_traits<`template-type-parameter-1'>::pointer,const allocator_traits<`template-type-parameter-1'>::pointer,_Alloc &) noexcept;2066;1900;2200;124;3
const class std::moneypunct<char,0> &__cdecl std::use_facet<class std::moneypunct<char,0>>(const class std::locale &);const _Facet &__cdecl std::use_facet(const class std::locale &);2050;2000;2100;50;2
const class std::moneypunct<char,1> &__cdecl std::use_facet<class std::moneypunct<char,1>>(const class std::locale &);const _Facet &__cdecl std::use_facet(const class std::locale &);2050;2000;2100;50;2
class std::allocator<char> &&__cdecl std::move<class std::allocator<char>&>(class std::allocator<char> &) noexcept;remove_reference<`template-type-parameter-1'>::type &&__cdecl std::move(_Ty &&) noexcept;2050;2000;2100;50;4
void __cdecl std::_Verify_range<wchar_t>(const wchar_t *const ,const wchar_t *const ) noexcept;void __cdecl std::_Verify_range(const _Ty *const ,const _Ty *const ) noexcept;2050;2000;2200;86;4
char *__cdecl std::_Refancy<char*,0x0>(char *) noexcept;_Pointer __cdecl std::_Refancy(_Pointer) noexcept;2050;1900;2200;150;2
__cdecl std::_Compressed_pair<class std::allocator<char>,class std::_String_val<struct std::_Simple_types<char> >,1>::_Compressed_pair<>(struct std::_Zero_then_variadic_args_t) noexcept(false);__cdecl std::_Compressed_pair<class std::allocator<char>,class std::_String_val<struct std::_Simple_types<char> >,1>::_Compressed_pair(struct std::_Zero_then_variadic_args_t,_Other2 &&...) noexcept(<expr>);2050;2000;2100;50;4
const class std::moneypunct<wchar_t,0> *__cdecl std::addressof<const class std::moneypunct<wchar_t,0>>(const class std::moneypunct<wchar_t,0> &) noexcept;_Ty *__cdecl std::addressof(_Ty &) noexcept;2050;2000;2100;50;2
__cdecl std::_Compressed_pair<class std::allocator<wchar_t>,class std::_String_val<struct std::_Simple_types<wchar_t> >,1>::_Compressed_pair<>(struct std::_Zero_then_variadic_args_t) noexcept(false);__cdecl std::_Compressed_pair<class std::allocator<wchar_t>,class std::_String_val<struct std::_Simple_types<wchar_t> >,1>::_Compressed_pair(struct std::_Zero_then_variadic_args_t,_Other2 &&...) noexcept(<expr>);2050;1900;2200;111;4
char32_t *__cdecl std::_Unfancy<char32_t>(char32_t *) noexcept;_Ty *__cdecl std::_Unfancy(_Ty *) noexcept;2050;1900;2200;111;4
__cdecl std::_Compressed_pair<class std::allocator<char>,class std::_String_val<struct std::_Simple_types<char> >,1>::_Compressed_pair<class std::allocator<char>,>(struct std::_One_then_variadic_args_t,class std::allocator<char> &&) noexcept(false);__cdecl std::_Compressed_pair<class std::allocator<char>,class std::_String_val<struct std::_Simple_types<char> >,1>::_Compressed_pair(struct std::_One_then_variadic_args_t,_Other1 &&,_Other2 &&...) noexcept(<expr>);2050;2000;2100;50;4
const char *__cdecl std::_Unfancy<const char>(const char *) noexcept;_Ty *__cdecl std::_Unfancy(_Ty *) noexcept;2050;2000;2100;50;2
void __cdecl std::_Construct_in_place<char16_t*,char16_t*const &>(char16_t *&,char16_t *const &) noexcept;void __cdecl std::_Construct_in_place(_Ty &,_Types &&...) noexcept(<expr>);2050;1900;2300;150;4
void __cdecl std::_Seek_wrapped<class std::ostreambuf_iterator<char,struct std::char_traits<char> >,class std::ostreambuf_iterator<char,struct std::char_traits<char> >>(class std::ostreambuf_iterator<char,struct std::char_traits<char> > &,class std::ostreambuf_iterator<char,struct std::char_traits<char> > &&);void __cdecl std::_Seek_wrapped(_Iter &,_UIter &&);2050;2000;2100;50;2
const class std::moneypunct<char,1> *__cdecl std::addressof<const class std::moneypunct<char,1>>(const class std::moneypunct<char,1> &) noexcept;_Ty *__cdecl std::addressof(_Ty &) noexcept;2050;2000;2100;50;2
wchar_t **__cdecl std::addressof<wchar_t*>(wchar_t *&) noexcept;_Ty *__cdecl std::addressof(_Ty &) noexcept;2050;2000;2100;50;4
class std::ostreambuf_iterator<char,struct std::char_traits<char> > __cdecl std::copy<char*,class std::ostreambuf_iterator<char,struct std::char_traits<char> >>(char *,char *,class std::ostreambuf_iterator<char,struct std::char_traits<char> >);_OutIt __cdecl std::copy(_InIt,_InIt,_OutIt);2050;2000;2100;50;2
struct std::_Container_proxy *__cdecl std::_Unfancy<struct std::_Container_proxy>(struct std::_Container_proxy *) noexcept;_Ty *__cdecl std::_Unfancy(_Ty *) noexcept;2050;1900;2200;111;4
void __cdecl std::_Construct_in_place<wchar_t*,wchar_t*const &>(wchar_t *&,wchar_t *const &) noexcept;void __cdecl std::_Construct_in_place(_Ty &,_Types &&...) noexcept(<expr>);2050;1900;2200;111;4
const class std::moneypunct<wchar_t,1> *__cdecl std::addressof<const class std::moneypunct<wchar_t,1>>(const class std::moneypunct<wchar_t,1> &) noexcept;_Ty *__cdecl std::addressof(_Ty &) noexcept;2050;2000;2100;50;2
unsigned __int64 __cdecl std::_Find_elem<char,0x0f>(const char (&)[15],const char);unsigned __int64 __cdecl std::_Find_elem(const _Elem (&)[_Base_size],const _Elem);2033;2000;2100;47;3
__cdecl std::allocator<struct std::_Container_proxy>::allocator<class Microsoft::Cpp::BuildInsights::IAnalyzer*>(const class std::allocator<class Microsoft::Cpp::BuildInsights::IAnalyzer *> &) noexcept;__cdecl std::allocator<struct std::_Container_proxy>::allocator(const class std::allocator<`template-type-parameter-1'> &) noexcept;2033;1900;2100;94;3
void __cdecl std::_Uninitialized_backout_al<class std::allocator<class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper<class Microsoft::Cpp::BuildInsights::IAnalyzer> > >::_Emplace_back<class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper<class Microsoft::Cpp::BuildInsights::IAnalyzer>>(class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper<class Microsoft::Cpp::BuildInsights::IAnalyzer> &&);void __cdecl std::_Uninitialized_backout_al<class std::allocator<class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper<class Microsoft::Cpp::BuildInsights::IAnalyzer> > >::_Emplace_back(_Types &&...);2033;2000;2100;47;3
class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper<class Microsoft::Cpp::BuildInsights::IRelogger> &&__cdecl std::forward<class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper<class Microsoft::Cpp::BuildInsights::IRelogger>>(class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper<class Microsoft::Cpp::BuildInsights::IRelogger> &) noexcept;_Ty &&__cdecl std::forward(remove_reference<`template-type-parameter-1'>::type &) noexcept;2033;1900;2100;94;3
class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > &__cdecl std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::_Reallocate_grow_by<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::append::<lambda_65e615be2a453ca0576c979606f46740>,const char*,unsigned __int64>(const unsigned __int64,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::append::<lambda_65e615be2a453ca0576c979606f46740>,const char *,unsigned __int64);class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > &__cdecl std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::_Reallocate_grow_by(const unsigned __int64,_Fty,_ArgTys...);2033;2000;2100;47;3
void __cdecl std::_Destroy_range<class std::allocator<class Microsoft::Cpp::BuildInsights::IAnalyzer *>>(class Microsoft::Cpp::BuildInsights::IAnalyzer **,class Microsoft::Cpp::BuildInsights::IAnalyzer **const ,class std::allocator<class Microsoft::Cpp::BuildInsights::IAnalyzer *> &) noexcept;void __cdecl std::_Destroy_range(allocator_traits<`template-type-parameter-1'>::pointer,const allocator_traits<`template-type-parameter-1'>::pointer,_Alloc &) noexcept;2033;2000;2100;47;3
void __cdecl std::_Destroy_range<class std::allocator<class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper<class Microsoft::Cpp::BuildInsights::IRelogger> >>(class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper<class Microsoft::Cpp::BuildInsights::IRelogger> *,class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper<class Microsoft::Cpp::BuildInsights::IRelogger> *const ,class std::allocator<class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper<class Microsoft::Cpp::BuildInsights::IRelogger> > &) noexcept;void __cdecl std::_Destroy_range(allocator_traits<`template-type-parameter-1'>::pointer,const allocator_traits<`template-type-parameter-1'>::pointer,_Alloc &) noexcept;2033;1900;2100;94;3
class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > &__cdecl std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::_Reallocate_grow_by<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::push_back::<lambda_319d5e083f45f90dcdce5dce53cbb275>,char>(const unsigned __int64,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::push_back::<lambda_319d5e083f45f90dcdce5dce53cbb275>,char);class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > &__cdecl std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::_Reallocate_grow_by(const unsigned __int64,_Fty,_ArgTys...);2033;2000;2100;47;3
const class std::numpunct<wchar_t> &__cdecl std::use_facet<class std::numpunct<wchar_t>>(const class std::locale &);const _Facet &__cdecl std::use_facet(const class std::locale &);2033;2000;2100;47;3
__cdecl std::unique_ptr<class Microsoft::Cpp::BuildInsights::IAnalyzer,struct std::default_delete<class Microsoft::Cpp::BuildInsights::IAnalyzer> >::unique_ptr<struct std::default_delete<class Microsoft::Cpp::BuildInsights::IAnalyzer>,0x0>(class std::unique_ptr<class Microsoft::Cpp::BuildInsights::IAnalyzer,struct std::default_delete<class Microsoft::Cpp::BuildInsights::IAnalyzer> > &&) noexcept;__cdecl std::unique_ptr<class Microsoft::Cpp::BuildInsights::IAnalyzer,struct std::default_delete<class Microsoft::Cpp::BuildInsights::IAnalyzer> >::unique_ptr(class std::unique_ptr<class Microsoft::Cpp::BuildInsights::IAnalyzer,struct std::default_delete<class Microsoft::Cpp::BuildInsights::IAnalyzer> > &&) noexcept;2033;1900;2200;124;3
void __cdecl std::_Adl_verify_range<const unsigned short*,const unsigned short*>(const unsigned short *const &,const unsigned short *const &);void __cdecl std::_Adl_verify_range(const _Iter &,const _Sentinel &);2033;2000;2100;47;3
void __cdecl std::_Verify_range<unsigned short>(const unsigned short *const ,const unsigned short *const ) noexcept;void __cdecl std::_Verify_range(const _Ty *const ,const _Ty *const ) noexcept;2033;1900;2100;94;3
__cdecl std::allocator<struct std::_Container_proxy>::allocator<class Microsoft::Cpp::BuildInsights::IRelogger*>(const class std::allocator<class Microsoft::Cpp::BuildInsights::IRelogger *> &) noexcept;__cdecl std::allocator<struct std::_Container_proxy>::allocator(const class std::allocator<`template-type-parameter-1'> &) noexcept;2033;1900;2100;94;3
class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper<class Microsoft::Cpp::BuildInsights::IRelogger> *__cdecl std::_Uninitialized_move<class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper<class Microsoft::Cpp::BuildInsights::IRelogger>*,class std::allocator<class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper<class Microsoft::Cpp::BuildInsights::IRelogger> >>(class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper<class Microsoft::Cpp::BuildInsights::IRelogger> *const ,class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper<class Microsoft::Cpp::BuildInsights::IRelogger> *const ,class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper<class Microsoft::Cpp::BuildInsights::IRelogger> *,class std::allocator<class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper<class Microsoft::Cpp::BuildInsights::IRelogger> > &);allocator_traits<`template-type-parameter-2'>::pointer __cdecl std::_Uninitialized_move(const _InIt,const _InIt,allocator_traits<`template-type-parameter-2'>::pointer,_Alloc &);2033;1900;2100;94;3
void __cdecl std::_Ptr_base<class Microsoft::Cpp::BuildInsights::IRelogger>::_Move_construct_from<class Microsoft::Cpp::BuildInsights::IRelogger>(class std::_Ptr_base<class Microsoft::Cpp::BuildInsights::IRelogger> &&) noexcept;void __cdecl std::_Ptr_base<class Microsoft::Cpp::BuildInsights::IRelogger>::_Move_construct_from(class std::_Ptr_base<`template-type-parameter-1'> &&) noexcept;2033;2000;2100;47;3
void __cdecl std::swap<struct std::ios_base::_Iosarray*,0x0>(struct std::ios_base::_Iosarray *&,struct std::ios_base::_Iosarray *&) noexcept;void __cdecl std::swap(_Ty &,_Ty &) noexcept(<expr>);2033;2000;2100;47;3
bool __cdecl std::operator !=<char,struct std::char_traits<char>>(const class std::istreambuf_iterator<char,struct std::char_traits<char> > &,const class std::istreambuf_iterator<char,struct std::char_traits<char> > &);bool __cdecl std::operator !=(const class std::istreambuf_iterator<`template-type-parameter-1',`template-type-parameter-2'> &,const class std::istreambuf_iterator<`template-type-parameter-1',`template-type-parameter-2'> &);2033;2000;2100;47;3
class std::shared_ptr<class Microsoft::Cpp::BuildInsights::IRelogger> &&__cdecl std::forward<class std::shared_ptr<class Microsoft::Cpp::BuildInsights::IRelogger>>(class std::shared_ptr<class Microsoft::Cpp::BuildInsights::IRelogger> &) noexcept;_Ty &&__cdecl std::forward(remove_reference<`template-type-parameter-1'>::type &) noexcept;2033;1900;2100;94;3
class Microsoft::Cpp::BuildInsights::IRelogger *&&__cdecl std::move<class Microsoft::Cpp::BuildInsights::IRelogger*&>(class Microsoft::Cpp::BuildInsights::IRelogger *&) noexcept;remove_reference<`template-type-parameter-1'>::type &&__cdecl std::move(_Ty &&) noexcept;2033;1900;2100;94;3
__cdecl std::allocator<struct std::_Container_proxy>::allocator<class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper<class Microsoft::Cpp::BuildInsights::IRelogger>>(const class std::allocator<class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper<class Microsoft::Cpp::BuildInsights::IRelogger> > &) noexcept;__cdecl std::allocator<struct std::_Container_proxy>::allocator(const class std::allocator<`template-type-parameter-1'> &) noexcept;2033;1900;2100;94;3
unsigned __int64 __cdecl std::_Find_elem<char,0x01b>(const char (&)[27],const char);unsigned __int64 __cdecl std::_Find_elem(const _Elem (&)[_Base_size],const _Elem);2033;2000;2100;47;3
const class std::numpunct<char> &__cdecl std::use_facet<class std::numpunct<char>>(const class std::locale &);const _Facet &__cdecl std::use_facet(const class std::locale &);2033;2000;2100;47;3
void __cdecl std::_Uninitialized_backout_al<class std::allocator<class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper<class Microsoft::Cpp::BuildInsights::IRelogger> > >::_Emplace_back<class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper<class Microsoft::Cpp::BuildInsights::IRelogger>>(class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper<class Microsoft::Cpp::BuildInsights::IRelogger> &&);void __cdecl std::_Uninitialized_backout_al<class std::allocator<class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper<class Microsoft::Cpp::BuildInsights::IRelogger> > >::_Emplace_back(_Types &&...);2033;2000;2100;47;3
const class Microsoft::Cpp::BuildInsights::TraceInfo &__cdecl std::forward<const class Microsoft::Cpp::BuildInsights::TraceInfo&>(const class Microsoft::Cpp::BuildInsights::TraceInfo &) noexcept;_Ty &&__cdecl std::forward(remove_reference<`template-type-parameter-1'>::type &) noexcept;2033;1900;2200;124;3
void __cdecl std::swap<__int64,0x0>(__int64 &,__int64 &) noexcept;void __cdecl std::swap(_Ty &,_Ty &) noexcept(<expr>);2033;2000;2100;47;3
class std::allocator<class Microsoft::Cpp::BuildInsights::Activities::Invocation> &&__cdecl std::forward<class std::allocator<class Microsoft::Cpp::BuildInsights::Activities::Invocation>>(class std::allocator<class Microsoft::Cpp::BuildInsights::Activities::Invocation> &) noexcept;_Ty &&__cdecl std::forward(remove_reference<`template-type-parameter-1'>::type &) noexcept;2033;2000;2100;47;3
class std::shared_ptr<class Microsoft::Cpp::BuildInsights::IAnalyzer> &&__cdecl std::forward<class std::shared_ptr<class Microsoft::Cpp::BuildInsights::IAnalyzer>>(class std::shared_ptr<class Microsoft::Cpp::BuildInsights::IAnalyzer> &) noexcept;_Ty &&__cdecl std::forward(remove_reference<`template-type-parameter-1'>::type &) noexcept;2033;1900;2100;94;3
void __cdecl std::_Default_allocator_traits<class std::allocator<class std::shared_ptr<class Microsoft::Cpp::BuildInsights::IAnalyzer> > >::destroy<class std::shared_ptr<class Microsoft::Cpp::BuildInsights::IAnalyzer>>(class std::allocator<class std::shared_ptr<class Microsoft::Cpp::BuildInsights::IAnalyzer> > &,class std::shared_ptr<class Microsoft::Cpp::BuildInsights::IAnalyzer> *const );void __cdecl std::_Default_allocator_traits<class std::allocator<class std::shared_ptr<class Microsoft::Cpp::BuildInsights::IAnalyzer> > >::destroy(class std::allocator<class std::shared_ptr<class Microsoft::Cpp::BuildInsights::IAnalyzer> > &,_Uty *const );2033;2000;2100;47;3
__cdecl std::_Compressed_pair<class std::allocator<class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper<class Microsoft::Cpp::BuildInsights::IRelogger> >,class std::_Vector_val<struct std::_Simple_types<class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper<class Microsoft::Cpp::BuildInsights::IRelogger> > >,1>::_Compressed_pair<>(struct std::_Zero_then_variadic_args_t) noexcept;__cdecl std::_Compressed_pair<class std::allocator<class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper<class Microsoft::Cpp::BuildInsights::IRelogger> >,class std::_Vector_val<struct std::_Simple_types<class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper<class Microsoft::Cpp::BuildInsights::IRelogger> > >,1>::_Compressed_pair(struct std::_Zero_then_variadic_args_t,_Other2 &&...) noexcept(<expr>);2033;2000;2100;47;3
class std::shared_ptr<class Microsoft::Cpp::BuildInsights::IAnalyzer> *__cdecl std::_Uninitialized_move<class std::shared_ptr<class Microsoft::Cpp::BuildInsights::IAnalyzer>*,class std::allocator<class std::shared_ptr<class Microsoft::Cpp::BuildInsights::IAnalyzer> >>(class std::shared_ptr<class Microsoft::Cpp::BuildInsights::IAnalyzer> *const ,class std::shared_ptr<class Microsoft::Cpp::BuildInsights::IAnalyzer> *const ,class std::shared_ptr<class Microsoft::Cpp::BuildInsights::IAnalyzer> *,class std::allocator<class std::shared_ptr<class Microsoft::Cpp::BuildInsights::IAnalyzer> > &);allocator_traits<`template-type-parameter-2'>::pointer __cdecl std::_Uninitialized_move(const _InIt,const _InIt,allocator_traits<`template-type-parameter-2'>::pointer,_Alloc &);2033;2000;2100;47;3
__cdecl std::_Compressed_pair<class std::allocator<class std::unique_ptr<class Microsoft::Cpp::BuildInsights::IRelogger,struct std::default_delete<class Microsoft::Cpp::BuildInsights::IRelogger> > >,class std::_Vector_val<struct std::_Simple_types<class std::unique_ptr<class Microsoft::Cpp::BuildInsights::IRelogger,struct std::default_delete<class Microsoft::Cpp::BuildInsights::IRelogger> > > >,1>::_Compressed_pair<>(struct std::_Zero_then_variadic_args_t) noexcept;__cdecl std::_Compressed_pair<class std::allocator<class std::unique_ptr<class Microsoft::Cpp::BuildInsights::IRelogger,struct std::default_delete<class Microsoft::Cpp::BuildInsights::IRelogger> > >,class std::_Vector_val<struct std::_Simple_types<class std::unique_ptr<class Microsoft::Cpp::BuildInsights::IRelogger,struct std::default_delete<class Microsoft::Cpp::BuildInsights::IRelogger> > > >,1>::_Compressed_pair(struct std::_Zero_then_variadic_args_t,_Other2 &&...) noexcept(<expr>);2033;1900;2100;94;3
void __cdecl std::_Uninitialized_backout_al<class std::allocator<class std::unique_ptr<class Microsoft::Cpp::BuildInsights::IAnalyzer,struct std::default_delete<class Microsoft::Cpp::BuildInsights::IAnalyzer> > > >::_Emplace_back<class std::unique_ptr<class Microsoft::Cpp::BuildInsights::IAnalyzer,struct std::default_delete<class Microsoft::Cpp::BuildInsights::IAnalyzer> >>(class std::unique_ptr<class Microsoft::Cpp::BuildInsights::IAnalyzer,struct std::default_delete<class Microsoft::Cpp::BuildInsights::IAnalyzer> > &&);void __cdecl std::_Uninitialized_backout_al<class std::allocator<class std::unique_ptr<class Microsoft::Cpp::BuildInsights::IAnalyzer,struct std::default_delete<class Microsoft::Cpp::BuildInsights::IAnalyzer> > > >::_Emplace_back(_Types &&...);2033;1900;2200;124;3
void __cdecl std::_Adl_verify_range<class std::istreambuf_iterator<char,struct std::char_traits<char> >,class std::istreambuf_iterator<char,struct std::char_traits<char> >>(const class std::istreambuf_iterator<char,struct std::char_traits<char> > &,const class std::istreambuf_iterator<char,struct std::char_traits<char> > &);void __cdecl std::_Adl_verify_range(const _Iter &,const _Sentinel &);2033;2000;2100;47;3
int __cdecl std::_Getloctxt<char,class std::istreambuf_iterator<char,struct std::char_traits<char> >>(class std::istreambuf_iterator<char,struct std::char_traits<char> > &,class std::istreambuf_iterator<char,struct std::char_traits<char> > &,unsigned __int64,const char *);int __cdecl std::_Getloctxt(_InIt &,_InIt &,unsigned __int64,const _Elem *);2033;2000;2100;47;3
unsigned __int64 __cdecl std::_Find_elem<char,0x01d>(const char (&)[29],const char);unsigned __int64 __cdecl std::_Find_elem(const _Elem (&)[_Base_size],const _Elem);2033;2000;2100;47;3
__cdecl std::allocator<struct std::_Container_proxy>::allocator<wchar_t>(const class std::allocator<wchar_t> &) noexcept;__cdecl std::allocator<struct std::_Container_proxy>::allocator(const class std::allocator<`template-type-parameter-1'> &) noexcept;2025;1900;2100;82;4
void __cdecl std::_Destroy_in_place<wchar_t*>(wchar_t *&) noexcept;void __cdecl std::_Destroy_in_place(_Ty &) noexcept;2025;1900;2100;82;4
class std::allocator<wchar_t> &&__cdecl std::move<class std::allocator<wchar_t>&>(class std::allocator<wchar_t> &) noexcept;remove_reference<`template-type-parameter-1'>::type &&__cdecl std::move(_Ty &&) noexcept;2025;1900;2100;82;4
wchar_t *const &__cdecl std::forward<wchar_t*const &>(wchar_t *const &) noexcept;_Ty &&__cdecl std::forward(remove_reference<`template-type-parameter-1'>::type &) noexcept;2025;1900;2100;82;4
unsigned __int64 __cdecl std::_Get_size_of_n<0x02>(const unsigned __int64);unsigned __int64 __cdecl std::_Get_size_of_n(const unsigned __int64);2025;1900;2100;82;4
wchar_t *__cdecl std::_Unfancy<wchar_t>(wchar_t *) noexcept;_Ty *__cdecl std::_Unfancy(_Ty *) noexcept;2025;1900;2100;82;4
class std::basic_string<char16_t,struct std::char_traits<char16_t>,class std::allocator<char16_t> > &__cdecl std::basic_string<char16_t,struct std::char_traits<char16_t>,class std::allocator<char16_t> >::_Reallocate_for<class std::basic_string<char16_t,struct std::char_traits<char16_t>,class std::allocator<char16_t> >::assign::<lambda_9f40189620cfe4223adcbc34f0d42913>,const char16_t*>(const unsigned __int64,class std::basic_string<char16_t,struct std::char_traits<char16_t>,class std::allocator<char16_t> >::assign::<lambda_9f40189620cfe4223adcbc34f0d42913>,const char16_t *);class std::basic_string<char16_t,struct std::char_traits<char16_t>,class std::allocator<char16_t> > &__cdecl std::basic_string<char16_t,struct std::char_traits<char16_t>,class std::allocator<char16_t> >::_Reallocate_for(const unsigned __int64,_Fty,_ArgTys...);2025;1900;2100;82;4
__cdecl std::chrono::duration<double,struct std::ratio<1,1000000000> >::duration<long double,0x0>(const long double &) noexcept;__cdecl std::chrono::duration<double,struct std::ratio<1,1000000000> >::duration(const _Rep2 &) noexcept(<expr>);2025;1900;2100;82;4
__cdecl std::chrono::duration<double,struct std::ratio<1,1> >::duration<long double,0x0>(const long double &) noexcept;__cdecl std::chrono::duration<double,struct std::ratio<1,1> >::duration(const _Rep2 &) noexcept(<expr>);2025;1900;2200;129;4
